title,link,pubDate
"בנט על אוקראינה: ""אם המנהיגים לא יפעלו מהר - זה יכול להיות הרבה יותר גרוע""",https://www.ynet.co.il/news/article/byx8nbcl9,"Thu, 03 Mar 2022 11:06:38 +0200"
הורשע הנהג שהיה מעורב במותה של בת 17 במשמר השבעה לפני כשנתיים,https://www.ynet.co.il/news/article/hkgkrlrxq,"Thu, 03 Mar 2022 10:40:07 +0200"
אוקראינה: 34 אזרחים נהרגו ביממה האחרונה מתקיפות הרוסים בחרקוב,https://www.ynet.co.il/news/article/hybmheclc,"Thu, 03 Mar 2022 10:33:02 +0200"
פועל נפצע קשה מפגיעת חפץ כבד באתר בנייה במודיעין עילית,https://www.ynet.co.il/news/article/rjux9x0gq,"Thu, 03 Mar 2022 10:21:04 +0200"
בריטניה: רוסיה התקדמה בקצב איטי לכיוון קייב בימים האחרונים,https://www.ynet.co.il/news/article/b1k11uxrgq,"Thu, 03 Mar 2022 10:16:41 +0200"
"עובדת בגן החיות התנ""כי בירושלים נפצעה קל בעת שהאכילה נמר",https://www.ynet.co.il/news/article/s1jblgrx5,"Thu, 03 Mar 2022 10:04:43 +0200"
"בת 5 נפצעה קשה מפגיעת אוטובוס בביתר עילית, אחיותיה נפצעו קל",https://www.ynet.co.il/news/article/bjbzzg0lq,"Thu, 03 Mar 2022 09:50:56 +0200"
"רוסיה: ""פגענו במרכזי רדיו וטלוויזיה בקייב. כבשנו עיר במזרח אוקראינה""",https://www.ynet.co.il/news/article/r15001ecx5,"Thu, 03 Mar 2022 09:38:16 +0200"
דקירת הגבר אתמול במחסום חיזמא - כנראה על רקע לאומני. מצוד אחר החשוד,https://www.ynet.co.il/news/article/r1ukhyrlc,"Thu, 03 Mar 2022 09:23:32 +0200"
רוסים ובלארוסים לא יורשו להשתתף באולימפיאדת החורף הפראלימפית,https://www.ynet.co.il/news/article/hjz0q1cl9,"Thu, 03 Mar 2022 09:18:21 +0200"
נעצרו 2 חשודים בתאונת פגע וברח בזכרון יעקב,https://www.ynet.co.il/news/article/rjmmk1cxq,"Thu, 03 Mar 2022 09:11:02 +0200"
"מפלס הכינרת עלה בס""מ אחד ביממה האחרונה ",https://www.ynet.co.il/news/article/rkdbokae9,"Thu, 03 Mar 2022 09:06:42 +0200"
בפעם השנייה תוך יממה: ישראלי נדקר בכפר חיזמא שמעבר לקו הירוק,https://www.ynet.co.il/news/article/sklg710x9,"Thu, 03 Mar 2022 08:47:14 +0200"
אוקראינה: הבדלנים הפרו-רוסים מאיימים במתקפות ממוקדות על העיר מריופול,https://www.ynet.co.il/news/article/ry0z1jrxq,"Thu, 03 Mar 2022 08:28:34 +0200"
"ארה""ב: רוסיה פתחה במלחמה על חופש התקשורת והאמת",https://www.ynet.co.il/news/article/hydqtraeq,"Thu, 03 Mar 2022 08:22:31 +0200"
